Space,Room,Timestamp,Temperature,AC Status,AC Desired Temperature,Light Sensor Value,Light Device Status
SPACE_1,ROOM_3,2024-12-23 20:30:58,24.14,on,24,262.5,on
SPACE_2,ROOM_1,2024-12-23 20:30:58,23.66,on,24,233.33,on
SPACE_2,ROOM_2,2024-12-23 20:30:58,23.37,on,24,160.15,on
SPACE_2,ROOM_3,2024-12-23 20:30:58,23.5,on,24,110.99,on
SPACE_1,ROOM_1,2024-12-23 20:31:58,24.14,on,24,237.21,on
SPACE_1,ROOM_2,2024-12-23 20:31:58,23.65,on,24,110.48,on
SPACE_1,ROOM_3,2024-12-23 20:31:58,23.54,on,24,209.36,on
SPACE_2,ROOM_1,2024-12-23 20:31:58,24.73,on,24,247.13,on
SPACE_2,ROOM_2,2024-12-23 20:31:58,24.81,on,24,121.77,on
SPACE_2,ROOM_3,2024-12-23 20:31:58,24.17,on,24,244.13,on
SPACE_1,ROOM_1,2024-12-23 20:32:58,24.9,on,24,177.33,on
SPACE_1,ROOM_2,2024-12-23 20:32:58,23.49,on,24,239.92,on
SPACE_1,ROOM_3,2024-12-23 20:32:58,24.37,on,24,101.49,on
SPACE_2,ROOM_1,2024-12-23 20:32:58,24.96,on,24,156.08,on
SPACE_2,ROOM_2,2024-12-23 20:32:58,24.77,on,24,121.85,on
SPACE_2,ROOM_3,2024-12-23 20:32:58,23.92,on,24,227.88,on
SPACE_1,ROOM_1,2024-12-23 20:33:58,23.1,on,24,106.34,on
SPACE_1,ROOM_2,2024-12-23 20:33:58,24.04,on,24,200.87,on
SPACE_1,ROOM_3,2024-12-23 20:33:58,23.44,on,24,261.13,on
SPACE_2,ROOM_1,2024-12-23 20:33:58,24.08,on,24,286.88,on
SPACE_2,ROOM_2,2024-12-23 20:33:58,24.03,on,24,230.58,on
SPACE_2,ROOM_3,2024-12-23 20:33:58,24.23,on,24,279.79,on
SPACE_1,ROOM_1,2024-12-23 20:34:58,23.72,on,24,225.52,on
SPACE_1,ROOM_2,2024-12-23 20:34:58,23.04,on,24,281.33,on
SPACE_1,ROOM_3,2024-12-23 20:34:58,23.5,on,24,235.07,on
SPACE_2,ROOM_1,2024-12-23 20:34:58,23.3,on,24,113.8,on
SPACE_2,ROOM_2,2024-12-23 20:34:58,23.35,on,24,263.58,on
SPACE_2,ROOM_3,2024-12-23 20:34:58,24.93,on,24,198.5,on
SPACE_1,ROOM_1,2024-12-23 20:35:58,23.98,on,24,227.64,on
SPACE_1,ROOM_2,2024-12-23 20:35:58,24.06,on,24,217.29,on
SPACE_1,ROOM_3,2024-12-23 20:35:58,24.79,on,24,136.63,on
SPACE_2,ROOM_1,2024-12-23 20:35:58,23.16,on,24,296.24,on
SPACE_2,ROOM_2,2024-12-23 20:35:58,23.02,on,24,201.5,on
SPACE_2,ROOM_3,2024-12-23 20:35:58,24.4,on,24,117.35,on
SPACE_1,ROOM_1,2024-12-23 20:36:58,24.41,on,24,245.0,on
SPACE_1,ROOM_2,2024-12-23 20:36:58,23.19,on,24,161.86,on
SPACE_1,ROOM_3,2024-12-23 20:36:58,24.78,on,24,260.57,on
SPACE_2,ROOM_1,2024-12-23 20:36:58,23.32,on,24,179.61,on
SPACE_2,ROOM_2,2024-12-23 20:36:58,23.12,on,24,222.42,on
SPACE_2,ROOM_3,2024-12-23 20:36:58,24.2,on,24,276.83,on
SPACE_1,ROOM_1,2024-12-23 20:37:58,24.63,on,24,273.21,on
SPACE_1,ROOM_2,2024-12-23 20:37:58,24.45,on,24,250.72,on
SPACE_1,ROOM_3,2024-12-23 20:37:58,23.74,on,24,233.89,on
SPACE_2,ROOM_1,2024-12-23 20:37:58,24.76,on,24,210.53,on
SPACE_2,ROOM_2,2024-12-23 20:37:58,23.05,on,24,221.35,on
SPACE_2,ROOM_3,2024-12-23 20:37:58,24.14,on,24,144.09,on
SPACE_1,ROOM_1,2024-12-23 20:38:58,23.72,on,24,147.78,on
SPACE_1,ROOM_2,2024-12-23 20:38:58,23.93,on,24,256.02,on
SPACE_1,ROOM_3,2024-12-23 20:38:58,24.12,on,24,244.64,on
SPACE_2,ROOM_1,2024-12-23 20:38:58,24.94,on,24,116.72,on
SPACE_2,ROOM_2,2024-12-23 20:38:58,24.94,on,24,161.62,on
SPACE_2,ROOM_3,2024-12-23 20:38:58,23.92,on,24,242.73,on
SPACE_1,ROOM_1,2024-12-23 20:39:58,23.54,on,24,114.9,on
SPACE_1,ROOM_2,2024-12-23 20:39:58,24.64,on,24,201.56,on
SPACE_1,ROOM_3,2024-12-23 20:39:58,23.25,on,24,155.14,on
SPACE_2,ROOM_1,2024-12-23 20:39:58,24.2,on,24,276.31,on
SPACE_2,ROOM_2,2024-12-23 20:39:58,24.43,on,24,152.88,on
SPACE_2,ROOM_3,2024-12-23 20:39:58,23.7,on,24,211.07,on
SPACE_1,ROOM_1,2024-12-23 20:40:58,24.67,on,24,254.89,on
SPACE_1,ROOM_2,2024-12-23 20:40:58,24.1,on,24,112.96,on
SPACE_1,ROOM_3,2024-12-23 20:40:58,23.73,on,24,202.35,on
SPACE_2,ROOM_1,2024-12-23 20:40:58,24.12,on,24,161.92,on
SPACE_2,ROOM_2,2024-12-23 20:40:58,23.67,on,24,231.14,on
SPACE_2,ROOM_3,2024-12-23 20:40:58,23.84,on,24,282.4,on
SPACE_1,ROOM_1,2024-12-23 20:41:58,23.05,on,24,240.86,on
SPACE_1,ROOM_2,2024-12-23 20:41:58,23.97,on,24,260.1,on
SPACE_1,ROOM_3,2024-12-23 20:41:58,24.09,on,24,222.66,on
SPACE_2,ROOM_1,2024-12-23 20:41:58,23.56,on,24,128.58,on
SPACE_2,ROOM_2,2024-12-23 20:41:58,24.09,on,24,195.59,on
SPACE_2,ROOM_3,2024-12-23 20:41:58,23.29,on,24,206.5,on
SPACE_1,ROOM_1,2024-12-23 20:42:58,23.52,on,24,155.37,on
SPACE_1,ROOM_2,2024-12-23 20:42:58,23.59,on,24,239.49,on
SPACE_1,ROOM_3,2024-12-23 20:42:58,23.42,on,24,285.67,on
SPACE_2,ROOM_1,2024-12-23 20:42:58,23.04,on,24,282.73,on
SPACE_2,ROOM_2,2024-12-23 20:42:58,24.29,on,24,125.83,on
SPACE_2,ROOM_3,2024-12-23 20:42:58,23.67,on,24,285.65,on
SPACE_1,ROOM_1,2024-12-23 20:43:58,23.45,on,24,175.67,on
SPACE_1,ROOM_2,2024-12-23 20:43:58,23.43,on,24,185.02,on
SPACE_1,ROOM_3,2024-12-23 20:43:58,23.31,on,24,265.39,on
SPACE_2,ROOM_1,2024-12-23 20:43:58,24.64,on,24,229.29,on
SPACE_2,ROOM_2,2024-12-23 20:43:58,23.88,on,24,279.8,on
SPACE_2,ROOM_3,2024-12-23 20:43:58,24.18,on,24,183.47,on
SPACE_1,ROOM_1,2024-12-23 20:44:58,23.91,on,24,216.29,on
SPACE_1,ROOM_2,2024-12-23 20:44:58,24.88,on,24,134.5,on
SPACE_1,ROOM_3,2024-12-23 20:44:58,24.07,on,24,283.47,on
SPACE_2,ROOM_1,2024-12-23 20:44:58,23.89,on,24,103.45,on
SPACE_2,ROOM_2,2024-12-23 20:44:58,24.42,on,24,141.62,on
SPACE_2,ROOM_3,2024-12-23 20:44:58,23.01,on,24,105.3,on
SPACE_1,ROOM_1,2024-12-23 20:45:58,24.63,on,24,164.48,on
SPACE_1,ROOM_2,2024-12-23 20:45:58,23.62,on,24,256.28,on
SPACE_1,ROOM_3,2024-12-23 20:45:58,24.04,on,24,254.22,on
SPACE_2,ROOM_1,2024-12-23 20:45:58,24.81,on,24,237.26,on
SPACE_2,ROOM_2,2024-12-23 20:45:58,24.21,on,24,224.98,on
SPACE_2,ROOM_3,2024-12-23 20:45:58,24.96,on,24,220.23,on
SPACE_1,ROOM_1,2024-12-23 20:46:58,24.41,on,24,180.4,on
SPACE_1,ROOM_2,2024-12-23 20:46:58,24.28,on,24,212.74,on
SPACE_1,ROOM_3,2024-12-23 20:46:58,24.87,on,24,286.33,on
SPACE_2,ROOM_1,2024-12-23 20:46:58,23.1,on,24,163.81,on
SPACE_2,ROOM_2,2024-12-23 20:46:58,24.57,on,24,243.56,on
SPACE_2,ROOM_3,2024-12-23 20:46:58,23.45,on,24,185.73,on
SPACE_1,ROOM_1,2024-12-23 20:47:58,23.01,on,24,169.23,on
SPACE_1,ROOM_2,2024-12-23 20:47:58,24.1,on,24,160.76,on
SPACE_1,ROOM_3,2024-12-23 20:47:58,24.74,on,24,233.11,on
SPACE_2,ROOM_1,2024-12-23 20:47:58,23.15,on,24,127.77,on
SPACE_2,ROOM_2,2024-12-23 20:47:58,24.51,on,24,179.28,on
SPACE_2,ROOM_3,2024-12-23 20:47:58,23.17,on,24,267.2,on
SPACE_1,ROOM_1,2024-12-23 20:48:58,24.14,on,24,242.16,on
SPACE_1,ROOM_2,2024-12-23 20:48:58,24.46,on,24,165.58,on
SPACE_1,ROOM_3,2024-12-23 20:48:58,24.35,on,24,112.47,on
SPACE_2,ROOM_1,2024-12-23 20:48:58,24.46,on,24,216.58,on
SPACE_2,ROOM_2,2024-12-23 20:48:58,24.23,on,24,231.15,on
SPACE_2,ROOM_3,2024-12-23 20:48:58,24.45,on,24,189.33,on
SPACE_1,ROOM_1,2024-12-23 20:49:58,24.07,on,24,170.51,on
SPACE_1,ROOM_2,2024-12-23 20:49:58,23.16,on,24,157.03,on
SPACE_1,ROOM_3,2024-12-23 20:49:58,23.56,on,24,107.69,on
SPACE_2,ROOM_1,2024-12-23 20:49:58,23.1,on,24,272.35,on
SPACE_2,ROOM_2,2024-12-23 20:49:58,24.71,on,24,146.17,on
SPACE_2,ROOM_3,2024-12-23 20:49:58,24.09,on,24,192.77,on
SPACE_1,ROOM_1,2024-12-23 20:50:58,23.51,on,24,282.69,on
SPACE_1,ROOM_2,2024-12-23 20:50:58,24.29,on,24,262.48,on
SPACE_1,ROOM_3,2024-12-23 20:50:58,24.77,on,24,116.49,on
SPACE_2,ROOM_1,2024-12-23 20:50:58,23.54,on,24,255.82,on
SPACE_2,ROOM_2,2024-12-23 20:50:58,24.29,on,24,178.92,on
SPACE_2,ROOM_3,2024-12-23 20:50:58,24.95,on,24,281.33,on
SPACE_1,ROOM_1,2024-12-23 20:51:58,23.28,on,24,168.79,on
SPACE_1,ROOM_2,2024-12-23 20:51:58,23.08,on,24,137.39,on
SPACE_1,ROOM_3,2024-12-23 20:51:58,24.25,on,24,227.19,on
SPACE_2,ROOM_1,2024-12-23 20:51:58,24.3,on,24,163.17,on
SPACE_2,ROOM_2,2024-12-23 20:51:58,23.84,on,24,295.81,on
SPACE_2,ROOM_3,2024-12-23 20:51:58,24.12,on,24,224.07,on
SPACE_1,ROOM_1,2024-12-23 20:52:58,23.21,on,24,214.25,on
SPACE_1,ROOM_2,2024-12-23 20:52:58,24.21,on,24,170.98,on
SPACE_1,ROOM_3,2024-12-23 20:52:58,24.52,on,24,261.12,on
SPACE_2,ROOM_1,2024-12-23 20:52:58,23.9,on,24,106.79,on
SPACE_2,ROOM_2,2024-12-23 20:52:58,24.25,on,24,162.31,on
SPACE_2,ROOM_3,2024-12-23 20:52:58,23.98,on,24,270.76,on
SPACE_1,ROOM_1,2024-12-23 20:53:58,24.23,on,24,262.83,on
SPACE_1,ROOM_2,2024-12-23 20:53:58,23.3,on,24,252.08,on
SPACE_1,ROOM_3,2024-12-23 20:53:58,23.21,on,24,271.79,on
SPACE_2,ROOM_1,2024-12-23 20:53:58,23.34,on,24,254.52,on
SPACE_2,ROOM_2,2024-12-23 20:53:58,23.66,on,24,264.01,on
SPACE_2,ROOM_3,2024-12-23 20:53:58,24.57,on,24,214.3,on
SPACE_1,ROOM_1,2024-12-23 20:54:58,23.66,on,24,189.65,on
SPACE_1,ROOM_2,2024-12-23 20:54:58,24.65,on,24,178.2,on
SPACE_1,ROOM_3,2024-12-23 20:54:58,23.91,on,24,279.4,on
SPACE_2,ROOM_1,2024-12-23 20:54:58,23.17,on,24,181.6,on
SPACE_2,ROOM_2,2024-12-23 20:54:58,24.24,on,24,242.63,on
SPACE_2,ROOM_3,2024-12-23 20:54:58,23.17,on,24,110.8,on
SPACE_1,ROOM_1,2024-12-23 20:55:58,23.81,on,24,271.42,on
SPACE_1,ROOM_2,2024-12-23 20:55:58,23.24,on,24,126.21,on
SPACE_1,ROOM_3,2024-12-23 20:55:58,24.95,on,24,204.67,on
SPACE_2,ROOM_1,2024-12-23 20:55:58,23.78,on,24,278.31,on
SPACE_2,ROOM_2,2024-12-23 20:55:58,23.56,on,24,169.01,on
SPACE_2,ROOM_3,2024-12-23 20:55:58,24.05,on,24,101.47,on
SPACE_1,ROOM_1,2024-12-23 20:56:58,23.29,on,24,207.52,on
SPACE_1,ROOM_2,2024-12-23 20:56:58,24.05,on,24,211.37,on
SPACE_1,ROOM_3,2024-12-23 20:56:58,23.76,on,24,207.49,on
SPACE_2,ROOM_1,2024-12-23 20:56:58,23.07,on,24,239.46,on
SPACE_2,ROOM_2,2024-12-23 20:56:58,23.37,on,24,273.59,on
SPACE_2,ROOM_3,2024-12-23 20:56:58,24.17,on,24,195.35,on
SPACE_1,ROOM_1,2024-12-23 20:57:58,24.02,on,24,187.76,on
SPACE_1,ROOM_2,2024-12-23 20:57:58,24.16,on,24,265.63,on
SPACE_1,ROOM_3,2024-12-23 20:57:58,23.81,on,24,235.54,on
SPACE_2,ROOM_1,2024-12-23 20:57:58,23.51,on,24,249.93,on
SPACE_2,ROOM_2,2024-12-23 20:57:58,24.23,on,24,123.68,on
SPACE_2,ROOM_3,2024-12-23 20:57:58,24.13,on,24,108.87,on
SPACE_1,ROOM_1,2024-12-23 20:58:58,23.5,on,24,110.69,on
SPACE_1,ROOM_2,2024-12-23 20:58:58,23.62,on,24,140.19,on
SPACE_1,ROOM_3,2024-12-23 20:58:58,23.42,on,24,171.7,on
SPACE_2,ROOM_1,2024-12-23 20:58:58,23.07,on,24,210.09,on
SPACE_2,ROOM_2,2024-12-23 20:58:58,24.73,on,24,255.72,on
SPACE_2,ROOM_3,2024-12-23 20:58:58,24.43,on,24,140.59,on
SPACE_1,ROOM_1,2024-12-23 20:59:58,24.44,on,24,206.46,on
SPACE_1,ROOM_2,2024-12-23 20:59:58,23.29,on,24,149.28,on
SPACE_1,ROOM_3,2024-12-23 20:59:58,23.75,on,24,181.82,on
SPACE_2,ROOM_1,2024-12-23 20:59:58,23.68,on,24,279.88,on
SPACE_2,ROOM_2,2024-12-23 20:59:58,23.84,on,24,122.44,on
SPACE_2,ROOM_3,2024-12-23 20:59:58,24.87,on,24,181.21,on
SPACE_1,ROOM_1,2024-12-23 21:00:58,23.21,on,24,185.72,on
SPACE_1,ROOM_2,2024-12-23 21:00:58,25.0,on,24,269.52,on
SPACE_1,ROOM_3,2024-12-23 21:00:58,24.12,on,24,118.69,on
SPACE_2,ROOM_1,2024-12-23 21:00:58,23.41,on,24,274.11,on
SPACE_2,ROOM_2,2024-12-23 21:00:58,23.06,on,24,105.23,on
SPACE_2,ROOM_3,2024-12-23 21:00:58,23.51,on,24,198.37,on
SPACE_1,ROOM_1,2024-12-23 21:01:58,24.89,on,24,171.14,on
SPACE_1,ROOM_2,2024-12-23 21:01:58,24.97,on,24,186.49,on
SPACE_1,ROOM_3,2024-12-23 21:01:58,23.07,on,24,255.89,on
SPACE_2,ROOM_1,2024-12-23 21:01:58,23.41,on,24,251.48,on
SPACE_2,ROOM_2,2024-12-23 21:01:58,24.79,on,24,210.19,on
SPACE_2,ROOM_3,2024-12-23 21:01:58,23.66,on,24,186.39,on
SPACE_1,ROOM_1,2024-12-23 21:02:58,23.78,on,24,144.4,on
SPACE_1,ROOM_2,2024-12-23 21:02:58,24.2,on,24,261.3,on
SPACE_1,ROOM_3,2024-12-23 21:02:58,24.16,on,24,172.29,on
SPACE_2,ROOM_1,2024-12-23 21:02:58,24.55,on,24,166.85,on
SPACE_2,ROOM_2,2024-12-23 21:02:58,23.24,on,24,102.7,on
SPACE_2,ROOM_3,2024-12-23 21:02:58,23.31,on,24,261.45,on
SPACE_1,ROOM_1,2024-12-23 21:03:58,24.04,on,24,209.44,on
SPACE_1,ROOM_2,2024-12-23 21:03:58,23.36,on,24,237.48,on
SPACE_1,ROOM_3,2024-12-23 21:03:58,24.5,on,24,122.95,on
SPACE_2,ROOM_1,2024-12-23 21:03:58,24.52,on,24,110.79,on
SPACE_2,ROOM_2,2024-12-23 21:03:58,24.83,on,24,189.26,on
SPACE_2,ROOM_3,2024-12-23 21:03:58,23.11,on,24,299.2,on
SPACE_1,ROOM_1,2024-12-23 21:04:58,24.51,on,24,102.18,on
SPACE_1,ROOM_2,2024-12-23 21:04:58,23.16,on,24,230.64,on
SPACE_1,ROOM_3,2024-12-23 21:04:58,24.73,on,24,284.99,on
SPACE_2,ROOM_1,2024-12-23 21:04:58,23.58,on,24,263.34,on
SPACE_2,ROOM_2,2024-12-23 21:04:58,23.09,on,24,219.26,on
SPACE_2,ROOM_3,2024-12-23 21:04:58,23.27,on,24,172.32,on
SPACE_1,ROOM_1,2024-12-23 21:05:58,24.38,on,24,158.14,on
SPACE_1,ROOM_2,2024-12-23 21:05:58,24.75,on,24,128.56,on
SPACE_1,ROOM_3,2024-12-23 21:05:58,23.44,on,24,157.82,on
SPACE_2,ROOM_1,2024-12-23 21:05:58,23.41,on,24,198.36,on
SPACE_2,ROOM_2,2024-12-23 21:05:58,23.49,on,24,220.8,on
SPACE_2,ROOM_3,2024-12-23 21:05:58,23.1,on,24,151.26,on
SPACE_1,ROOM_1,2024-12-23 21:06:58,24.0,on,24,229.24,on
SPACE_1,ROOM_2,2024-12-23 21:06:58,24.25,on,24,129.95,on
SPACE_1,ROOM_3,2024-12-23 21:06:58,23.27,on,24,137.79,on
SPACE_2,ROOM_1,2024-12-23 21:06:58,23.51,on,24,106.12,on
SPACE_2,ROOM_2,2024-12-23 21:06:58,24.3,on,24,107.17,on
SPACE_2,ROOM_3,2024-12-23 21:06:58,23.04,on,24,166.54,on
SPACE_1,ROOM_1,2024-12-23 21:07:58,23.37,on,24,139.62,on
SPACE_1,ROOM_2,2024-12-23 21:07:58,24.64,on,24,257.16,on
SPACE_1,ROOM_3,2024-12-23 21:07:58,23.57,on,24,110.67,on
SPACE_2,ROOM_1,2024-12-23 21:07:58,24.2,on,24,197.82,on
SPACE_2,ROOM_2,2024-12-23 21:07:58,23.5,on,24,261.86,on
SPACE_2,ROOM_3,2024-12-23 21:07:58,23.32,on,24,156.19,on
SPACE_1,ROOM_1,2024-12-23 21:08:58,24.76,on,24,171.25,on
SPACE_1,ROOM_2,2024-12-23 21:08:58,23.73,on,24,100.63,on
SPACE_1,ROOM_3,2024-12-23 21:08:58,23.87,on,24,230.57,on
SPACE_2,ROOM_1,2024-12-23 21:08:58,24.38,on,24,298.19,on
SPACE_2,ROOM_2,2024-12-23 21:08:58,24.74,on,24,167.98,on
SPACE_2,ROOM_3,2024-12-23 21:08:58,24.69,on,24,231.87,on
SPACE_1,ROOM_1,2024-12-23 21:09:58,24.47,on,24,255.61,on
SPACE_1,ROOM_2,2024-12-23 21:09:58,23.14,on,24,294.74,on
SPACE_1,ROOM_3,2024-12-23 21:09:58,24.25,on,24,119.7,on
SPACE_2,ROOM_1,2024-12-23 21:09:58,24.94,on,24,113.31,on
SPACE_2,ROOM_2,2024-12-23 21:09:58,23.63,on,24,277.89,on
SPACE_2,ROOM_3,2024-12-23 21:09:58,23.89,on,24,245.13,on
SPACE_1,ROOM_1,2024-12-23 21:10:58,23.86,on,24,184.23,on
SPACE_1,ROOM_2,2024-12-23 21:10:58,23.45,on,24,175.51,on
SPACE_1,ROOM_3,2024-12-23 21:10:58,23.56,on,24,123.39,on
SPACE_2,ROOM_1,2024-12-23 21:10:58,23.11,on,24,274.76,on
SPACE_2,ROOM_2,2024-12-23 21:10:58,24.82,on,24,298.25,on
SPACE_2,ROOM_3,2024-12-23 21:10:58,23.67,on,24,203.41,on
SPACE_1,ROOM_1,2024-12-23 21:11:58,24.14,on,24,252.37,on
SPACE_1,ROOM_2,2024-12-23 21:11:58,23.75,on,24,228.26,on
SPACE_1,ROOM_3,2024-12-23 21:11:58,23.55,on,24,104.22,on
SPACE_2,ROOM_1,2024-12-23 21:11:58,24.72,on,24,249.15,on
SPACE_2,ROOM_2,2024-12-23 21:11:58,23.54,on,24,111.31,on
SPACE_2,ROOM_3,2024-12-23 21:11:58,23.89,on,24,243.01,on
SPACE_1,ROOM_1,2024-12-23 21:12:58,24.53,on,24,121.8,on
SPACE_1,ROOM_2,2024-12-23 21:12:58,23.38,on,24,225.02,on
SPACE_1,ROOM_3,2024-12-23 21:12:58,24.6,on,24,228.61,on
SPACE_2,ROOM_1,2024-12-23 21:12:58,24.58,on,24,172.29,on
SPACE_2,ROOM_2,2024-12-23 21:12:58,24.91,on,24,261.24,on
SPACE_2,ROOM_3,2024-12-23 21:12:58,23.44,on,24,182.26,on
SPACE_1,ROOM_1,2024-12-23 21:13:58,23.35,on,24,152.73,on
SPACE_1,ROOM_2,2024-12-23 21:13:58,23.66,on,24,166.62,on
SPACE_1,ROOM_3,2024-12-23 21:13:58,24.91,on,24,253.06,on
SPACE_2,ROOM_1,2024-12-23 21:13:58,24.03,on,24,160.68,on
SPACE_2,ROOM_2,2024-12-23 21:13:58,24.43,on,24,131.11,on
SPACE_2,ROOM_3,2024-12-23 21:13:58,23.84,on,24,237.34,on
SPACE_1,ROOM_1,2024-12-23 21:14:58,23.0,on,24,280.32,on
SPACE_1,ROOM_2,2024-12-23 21:14:58,23.51,on,24,281.1,on
SPACE_1,ROOM_3,2024-12-23 21:14:58,23.99,on,24,112.45,on
SPACE_2,ROOM_1,2024-12-23 21:14:58,23.3,on,24,184.34,on
SPACE_2,ROOM_2,2024-12-23 21:14:58,24.35,on,24,249.44,on
SPACE_2,ROOM_3,2024-12-23 21:14:58,23.63,on,24,292.52,on
SPACE_1,ROOM_1,2024-12-23 21:15:58,23.13,on,24,126.56,on
SPACE_1,ROOM_2,2024-12-23 21:15:58,23.41,on,24,160.15,on
SPACE_1,ROOM_3,2024-12-23 21:15:58,23.87,on,24,253.57,on
